culture_ar,culture_id,flooding_d,gie_id,gie_locati,lat_grp,lat_plot,lon_grp,lon_plot,parcel_cod,parcel_loc,phenologic,producer_i,production,state_name,2024-01-17,2024-01-22,2024-01-27,2024-02-01,2024-02-06,2024-02-11,2024-02-16,2024-02-21,2024-02-26,2024-03-02,2024-03-07,2024-03-12,2024-03-17,2024-03-22,2024-03-27,2024-04-01,2024-04-06,2024-04-11,2024-04-16,2024-04-21,2024-04-26,2024-05-01,2024-05-06,2024-05-11,2024-05-16,2024-05-21,2024-05-26,2024-05-31,2024-06-05,2024-06-10,2024-06-15,2024-06-20,2024-06-25,2024-06-30,2024-07-05,2024-07-10,2024-07-15,2024-07-20,2024-07-25,2024-07-30,flooding_date_rs
14.1293,2308,,,,,16.44804,,-16.057213333333,SN0292400006,,Maturation : Stade Dur,7b3a108d-def3-4357-8a6a-69a92a4829e9,2.3335903269245,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,2024-05-21
16.5803,2307,,,,,16.448341666667,,-16.062465833333,SN0292400005,,Maturation : Stade Dur,7b3a108d-def3-4357-8a6a-69a92a4829e9,2.4176844207309,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,2024-05-21
2.0575,2289,,,,,16.459175,,-16.062683333333,SN0292400003,,Maturation : Stade Dur,ac9af046-0f77-4387-a2f7-ec4ecae59e39,0.62852392474079,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2024-05-26
4.9987,2309,,,,,16.465226666667,,-16.037445833333,SN0293600013,,Maturation : Stade Dur,4bb1eea4-cfa1-4f9c-ad9b-3952b8a2109c,0.946930741001969,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
10.2376,2303,,,,,16.46605,,-16.081283333333,SN0292400004,,Maturation : Stade Dur,6292e1d5-0a23-4a6f-bbf8-02546a3404db,1.6443449076336,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.72,2.72,3.44,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,2024-04-06
6.0131,2284,,,,,16.4710325,,-16.041939166667,SN0292400002,,Maturation : Stade Dur,ac9af046-0f77-4387-a2f7-ec4ecae59e39,1.2287850319352,Closure,0.0,0.0,0.0,0.0,0.0,0.0,5.46,5.46,5.52,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,2024-03-02
3.0483,2294,,,,,16.4955625,,-16.087623333333,SN0292700013,,Maturation : Stade Dur,086b3497-2959-4c96-8049-1016b6b4a9d0,0.82807603582198,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
7.3348,2293,,,,,16.496200833333,,-16.088678333333,SN0292700012,,Maturation : Stade Dur,086b3497-2959-4c96-8049-1016b6b4a9d0,1.2560876834762,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,2024-03-02
7.476,2282,,,,,16.499728333333,,-16.091283333333,SN0292700008,,Maturation : Stade Dur,b2e26fe7-3968-4235-b7dc-26e2e3513da4,1.2424053786098,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2024-02-26
4.0088,2280,,,,,16.503978333333,,-16.100201666667,SN0292700006,,Maturation : Stade Dur,9b90080c-7872-4f53-a50c-2aafd179110a,1.2044558942635,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
