grid_id,ID,LatNP,Latitude,LonNP,Longitude,nasapid,2025-01-26,2025-01-31,Est_flooding_date
5492683,,15.75,15.9583333333,-16.25,-16.4583333333,152248,8.24,8.8,2025-01-31
5492684,,15.75,15.9583333333,-16.25,-16.375,152248,0.75,0.75,2025-01-26
5497003,,16.25,16.0416666667,-16.25,-16.4583333333,152968,48.43,48.89,2025-01-31
5497004,,16.25,16.0416666667,-16.25,-16.375,152968,47.4,47.4,2025-01-26
5497005,,16.25,16.0416666667,-16.25,-16.2916666667,152968,12.96,12.96,2025-01-26
5497006,,16.25,16.0416666667,-16.25,-16.2083333333,152968,0.0,0.0,2025-01-26
5501323,,16.25,16.125,-16.25,-16.4583333333,152968,45.68,45.68,2025-01-26
5501324,,16.25,16.125,-16.25,-16.375,152968,63.59,77.43,2025-01-31
5501325,,16.25,16.125,-16.25,-16.2916666667,152968,3.2,3.2,2025-01-26
5501326,,16.25,16.125,-16.25,-16.2083333333,152968,0.01,0.01,2025-01-26
5501327,,16.25,16.125,-16.25,-16.125,152968,0.0,0.0,2025-01-26
5505643,,16.25,16.2083333333,-16.25,-16.4583333333,152968,0.23,0.23,2025-01-26
5505644,,16.25,16.2083333333,-16.25,-16.375,152968,3.34,4.59,2025-01-31
5505645,,16.25,16.2083333333,-16.25,-16.2916666667,152968,12.49,12.71,2025-01-31
5505646,,16.25,16.2083333333,-16.25,-16.2083333333,152968,1.59,2.24,2025-01-31
5505647,,16.25,16.2083333333,-16.25,-16.125,152968,0.0,0.0,2025-01-26
5505648,,16.25,16.2083333333,-16.25,-16.0416666667,152968,0.19,0.2,2025-01-31
5509964,,16.25,16.2916666667,-16.25,-16.375,152968,0.05,0.07,2025-01-31
5509965,,16.25,16.2916666667,-16.25,-16.2916666667,152968,50.64,85.24,2025-01-31
5509966,,16.25,16.2916666667,-16.25,-16.2083333333,152968,12.15,43.02,2025-01-31
5509967,,16.25,16.2916666667,-16.25,-16.125,152968,65.6,83.1,2025-01-31
5509968,,16.25,16.2916666667,-16.25,-16.0416666667,152968,21.66,23.78,2025-01-31
5509969,,16.25,16.2916666667,-15.75,-15.9583333333,152969,0.59,0.59,2025-01-26
5509970,,16.25,16.2916666667,-15.75,-15.875,152969,0.16,0.16,2025-01-26
5514285,,16.25,16.375,-16.25,-16.2916666667,152968,10.56,12.02,2025-01-31
5514286,,16.25,16.375,-16.25,-16.2083333333,152968,5.85,12.14,2025-01-31
5514287,,16.25,16.375,-16.25,-16.125,152968,151.83,200.25,2025-01-31
5514288,,16.25,16.375,-16.25,-16.0416666667,152968,153.58,285.92,2025-01-31
5514289,,16.25,16.375,-15.75,-15.9583333333,152969,152.26,321.48,2025-01-31
5514290,,16.25,16.375,-15.75,-15.875,152969,9.04,19.41,2025-01-31
5514291,,16.25,16.375,-15.75,-15.7916666667,152969,19.01,41.62,2025-01-31
5514292,,16.25,16.375,-15.75,-15.7083333333,152969,1.75,2.24,2025-01-31
5518605,,16.25,16.4583333333,-16.25,-16.2916666667,152968,135.79,299.21,2025-01-31
5518606,,16.25,16.4583333333,-16.25,-16.2083333333,152968,230.77,357.68,2025-01-31
5518607,,16.25,16.4583333333,-16.25,-16.125,152968,188.89,268.71,2025-01-31
5518608,,16.25,16.4583333333,-16.25,-16.0416666667,152968,50.86,76.76,2025-01-31
5518609,,16.25,16.4583333333,-15.75,-15.9583333333,152969,349.46,545.73,2025-01-31
5518610,,16.25,16.4583333333,-15.75,-15.875,152969,105.55,172.91,2025-01-31
5518611,,16.25,16.4583333333,-15.75,-15.7916666667,152969,14.83,22.3,2025-01-31
5518612,,16.25,16.4583333333,-15.75,-15.7083333333,152969,10.29,10.56,2025-01-31
5518613,,16.25,16.4583333333,-15.75,-15.625,152969,2.41,2.41,2025-01-26
5518614,,16.25,16.4583333333,-15.75,-15.5416666667,152969,2.02,2.02,2025-01-26
5522925,,16.75,16.5416666667,-16.25,-16.2916666667,153688,65.9,101.35,2025-01-31
5522926,,16.75,16.5416666667,-16.25,-16.2083333333,153688,343.12,443.52,2025-01-31
5522927,,16.75,16.5416666667,-16.25,-16.125,153688,123.55,208.84,2025-01-31
5522930,,16.75,16.5416666667,-15.75,-15.875,153689,8.26,8.5,2025-01-31
5522931,,16.75,16.5416666667,-15.75,-15.7916666667,153689,1.0,1.05,2025-01-31
5522933,,16.75,16.5416666667,-15.75,-15.625,153689,2.48,2.71,2025-01-31
5522934,,16.75,16.5416666667,-15.75,-15.5416666667,153689,4.41,5.24,2025-01-31
5522935,,16.75,16.5416666667,-15.25,-15.4583333333,153690,6.65,7.52,2025-01-31
5522936,,16.75,16.5416666667,-15.25,-15.375,153690,3.66,3.73,2025-01-31
5527255,,16.75,16.625,-15.25,-15.4583333333,153690,2.47,2.55,2025-01-31
