,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2019-01-18,2019-01-23,2019-01-28,2019-02-02,2019-02-07,2019-02-12,2019-02-17,2019-02-22,2019-02-27,2019-03-04,2019-03-09,2019-03-14,2019-03-19,2019-03-24,2019-03-29,2019-04-03,2019-04-08,2019-04-13,2019-04-18,2019-04-23,2019-04-28,2019-05-03,2019-05-08,2019-05-13,2019-05-18,2019-05-23,2019-05-28,2019-06-02,2019-06-07,2019-06-12,2019-06-17,2019-06-22,2019-06-27,2019-07-02,2019-07-07,2019-07-12,2019-07-17,2019-07-22,2019-07-27,flooding_date
0,5505644,16.25,16.20833333,-16.25,-16.375,152968,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,21.94,21.94,21.94,53.64,53.64,53.64,53.64,82.6,88.67,88.67,114.19,114.19,119.7,161.23,249.66,249.66,272.48,276.98,277.29,277.29,290.55,290.91,291,291,293.34,293.34,293.45,293.7,293.7,294.12,294.12,294.12,294.31,294.78,294.79,294.8,294.82,294.82,332.45,2027-02-19
1,5505643,16.25,16.20833333,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,0.11,0.11,0.11,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,3.02,3.02,3.02,3.02,3.02,4.61,4.61,4.78,4.79,4.99,4.99,14.06,14.06,14.06,14.09,14.09,14.09,14.09,14.09,14.09,14.27,19.67,19.9,20.66,20.66,20.66,2008-05-19
2,5505648,16.25,16.20833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6775.4400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-19
3,5505647,16.25,16.20833333,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,2018-05-19
4,5505646,16.25,16.20833333,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.70000000000002,48.06,48.06,48.06,61.3,61.3,61.3,61.3,61.49,73.8,73.8,139.1,139.1,155.37,188.31,251.51,251.51,264.97,264.97,264.97,264.97,289,289.99,290.38,290.38,292.93,292.93,293.57,294.09,294.09,294.17,294.17,294.17,294.6,294.8,294.8,296.1,296.1,296.1,296.54,2027-02-19
5,5505645,16.25,16.20833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.900000000001,9.45,9.45,9.45,23.61,23.61,23.61,23.61,154.12,218.61,218.61,303.34,303.34,315.97,354,413.16,413.16,460.84,465.09,466.27,466.27,482.53,484.65,486.29,486.29,487.66,487.66,487.71,487.95,487.95,487.99,487.99,487.99,488.09,488.33,488.33,488.87,488.87,488.87,512.08,2018-01-19
6,5518605,16.25,16.45833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.560000000001,20.51,20.51,20.51,25.31,25.31,25.31,25.31,59.79,59.79,103.5,189.34,189.34,349.91,403.02,403.02,403.02,427.16,427.16,427.16,427.16,430.71,430.71,431.63,431.63,435.35,438.05,438.09,438.53,438.53,439.21,439.21,439.21,440.75,441.73,441.73,441.8,441.8,441.8,441.8,2022-02-19
7,5501324,16.25,16.125,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8593.29,16.7,16.7,16.7,48.47,48.47,48.47,48.47,142.35,170.88,170.88,246.73,246.73,258.9,300.26,390.51,390.51,432,483.17,487.3,487.3,536.95,542.18,546.13,546.13,552.77,552.77,553.74,556.42,556.42,557.17,557.17,563.21,563.21,563.49,572.94,574,574,574,576.72,2027-07-19
8,5501323,16.25,16.125,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.560000000001,24.69,24.69,24.69,73.18,73.18,73.18,73.18,119.81,129.33,129.33,157.55,157.55,160.82,196.65,206.28,206.28,220.77,230.95,231.82,231.82,245.15,245.42,246.03,246.03,269.39,269.39,269.39,269.53,269.53,269.71,269.71,272.75,272.75,273.06,294.4,301.33,301.33,301.33,302.24,2002-02-19
9,5518608,16.25,16.45833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.7800000000002,19.45,19.45,19.45,51.53,51.53,51.53,51.53,746.24,746.24,1289.18,2092.71,2092.71,2407.18,2796.53,2796.53,2796.53,2953.23,2953.23,2953.23,2953.23,2964.79,2964.79,2967.15,2967.15,2984,2995.56,2996.08,2998.3,2998.3,2999.64,2999.64,2999.64,3002.38,3002.44,3002.44,3002.5,3002.5,3002.5,3002.55,2022-02-19
