,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2020-01-18,2020-01-23,2020-01-28,2020-02-02,2020-02-07,2020-02-12,2020-02-17,2020-02-22,2020-02-27,2020-03-03,2020-03-08,2020-03-13,2020-03-18,2020-03-23,2020-03-28,2020-04-02,2020-04-07,2020-04-12,2020-04-17,2020-04-22,2020-04-27,2020-05-02,2020-05-07,2020-05-12,2020-05-17,2020-05-22,2020-05-27,2020-06-01,flooding_date
0,5505644,16.25,16.20833333,-16.25,-16.375,152968,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,13.9,13.9,22.12,24.77,24.77,27.55,27.56,28.83,28.83,103.54,127.35,127.35,157.74,157.74,197.23,226.47,226.47,226.48,226.48,228.97,232.58,232.58,237.09,237.09,237.53,242.4,243.23,243.23,2022-02-20
1,5505643,16.25,16.20833333,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,0,0,0,0,0,0,0,0,0,0,0.63,0.63,0.63,0.63,0.64,0.64,1.65,1.65,1.65,1.74,1.74,1.74,3.97,3.97,3.97,3.97,3.97,3.97,2007-05-20
2,5505648,16.25,16.20833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6775.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-20
3,5505647,16.25,16.20833333,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-20
4,5505646,16.25,16.20833333,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.7,23.92,23.92,34.56,35.41,35.97,35.97,35.97,35.97,35.97,36.37,36.94,36.94,50.68,50.68,80.08,124.96,124.96,132.29,132.29,134.35,137.55,137.55,137.62,137.62,137.62,139.92,140,140,2028-03-20
5,5505645,16.25,16.20833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.9,3.95,3.95,19.06,23.85,29.96,30,31.02,33.49,33.49,166.14,231.32,231.32,314.33,314.33,365.48,515.18,525.61,536.28,536.28,562.26,578.79,579.12,584.56,584.56,584.64,585.53,585.61,585.61,2027-05-20
6,5518605,16.25,16.45833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.56,31.31,31.31,34.2,37.01,37.5,37.5,40.11,207.86,207.86,243.85,286.66,286.66,384.46,384.46,395.25,416.01,416.01,418.11,418.11,418.4,419.27,419.27,419.41,419.99,419.99,421.03,421.11,421.11,2027-05-20
7,5501324,16.25,16.125,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8593.29,42.68,42.68,108.48,108.48,108.48,118.96,118.96,119.41,119.41,196.84,208.4,208.4,224.24,224.24,296.49,350.08,350.84,358.3,358.3,377.81,377.81,380.48,411.48,411.48,413.85,422.67,423.24,423.24,2027-05-20
8,5501323,16.25,16.125,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.56,2.44,2.44,15.74,15.74,15.74,26.74,26.74,86.77,86.77,93.35,124.69,124.69,126.54,126.54,134.63,136.82,138.79,139.13,139.13,139.46,139.46,139.46,149.49,149.49,150.31,150.31,150.43,150.43,2003-03-20
9,5518608,16.25,16.45833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.78,18.72,18.72,24.01,26.05,30.04,30.04,30.07,101.77,101.77,368.23,583.75,583.75,1840.85,1840.85,2056.09,2732.61,2732.61,2732.61,2732.61,2744.98,2756.04,2756.04,2756.21,2756.95,2756.95,2760.76,2761.76,2761.76,2008-03-20
