,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2023-01-17,2023-01-22,2023-01-27,2023-02-01,2023-02-06,2023-02-11,2023-02-16,2023-02-21,2023-02-26,2023-03-03,2023-03-08,2023-03-13,2023-03-18,2023-03-23,2023-03-28,2023-04-02,2023-04-07,2023-04-12,2023-04-17,2023-04-22,2023-04-27,2023-05-02,2023-05-07,2023-05-12,2023-05-17,2023-05-22,2023-05-27,2023-06-01,2023-06-06,2023-06-11,2023-06-16,2023-06-21,2023-06-26,2023-07-01,flooding_date
0,5505644,16.25,16.20833333,-16.25,-16.375,152968,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,72.83,79.26,79.68,79.68,80.94,80.94,845.55,845.55,884.72,1085.91,1085.91,1088.15,1088.15,1154.59,1167.53,1208.85,1208.85,1208.85,1226.95,1250.92,1250.92,1257.25,1257.25,1261.05,1261.74,1267.04,1270.41,1270.41,1288.09,1288.09,1288.09,1288.79,1289.24,1289.24,26-02-23
1,5505643,16.25,16.20833333,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,17.01,21.12,21.72,21.72,21.72,21.72,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,139.24,287.23,287.23,287.23,287.23,287.23,287.23,287.59,287.59,287.59,287.72,287.73,287.73,287.73,288.69,288.69,288.69,288.69,288.69,288.69,06-06-23
2,5505648,16.25,16.20833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6775.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-01-23
3,5505647,16.25,16.20833333,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,22-01-23
4,5505646,16.25,16.20833333,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.7,25.85,28.22,28.29,28.29,28.95,28.95,30.81,30.81,31.72,37.41,37.41,38.29,38.29,170.1,191.23,195.43,195.43,195.43,207.63,232.41,232.41,235.57,235.57,238.47,238.47,240.3,240.96,240.96,244.92,244.92,244.92,244.92,244.93,244.93,13-03-23
5,5505645,16.25,16.20833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.9,26.57,28.86,30.53,30.53,34.7,34.7,38.42,38.42,43.91,93.22,93.22,126.57,126.57,472.32,537.41,576.08,576.08,576.08,630.25,686.6,686.6,696.68,696.68,702.9,704.26,707.92,710.17,710.17,725.15,725.15,725.15,725.77,726.71,726.71,03-03-23
6,5518605,16.25,16.45833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.56,29.56,33.7,33.7,33.9,48.57,48.57,48.57,63.71,63.73,392.21,530.87,530.87,530.87,672.98,701.64,703.12,703.12,703.12,711.42,711.42,717.23,717.23,717.23,720.19,720.19,721.41,721.41,721.41,729.35,729.35,729.35,729.35,729.37,729.37,26-06-23
7,5501324,16.25,16.125,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8593.29,52.2,72.89,80.22,80.22,106.3,106.3,320.01,320.01,352.76,403,403,405.73,405.73,484.03,484.03,628.87,628.87,628.87,658.21,712.78,712.78,726.75,726.75,729.54,734.51,734.51,737.56,737.56,746.05,746.05,746.05,746.05,748.59,748.59,27-01-23
8,5501323,16.25,16.125,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.56,27.09,97.8,116.33,116.33,116.43,116.43,628.49,628.49,628.49,640.83,640.83,640.99,640.99,643.8,643.8,687.72,687.72,687.72,703.88,713.44,713.44,725.39,725.39,732.28,735.34,735.34,735.38,735.38,738.87,738.87,738.87,738.87,740.59,740.59,22-01-23
9,5518608,16.25,16.45833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.78,32.69,39.97,39.97,53.34,116.05,116.05,116.05,207.13,207.13,353.25,1025.44,1025.44,1025.44,2346.02,2633.1,3677.98,3677.98,3677.98,3875.86,3875.86,3915.25,3915.25,3915.25,3921.04,3921.04,3924.37,3924.37,3924.37,3930.86,3930.86,3930.86,3930.9,3931.05,3931.05,01-02-23
