,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2024-01-17,2024-01-22,2024-01-27,2024-02-01,2024-02-06,2024-02-11,2024-02-16,2024-02-21,2024-02-26,2024-03-02,2024-03-07,2024-03-12,2024-03-17,2024-03-22,2024-03-27,2024-04-01,2024-04-06,2024-04-11,2024-04-16,2024-04-21,2024-04-26,2024-05-01,2024-05-06,2024-05-11,2024-05-16,2024-05-21,2024-05-26,2024-05-31,2024-06-05,2024-06-10,2024-06-15,2024-06-20,2024-06-25,2024-06-30,2024-07-05,2024-07-10,2024-07-15,2024-07-20,2024-07-25,2024-07-30,flooding_date
0,5505644,16.25,16.20833333,-16.25,-16.375,152968,"MULTIPOLYGON (((-15.916666666666686 16.25, -15.916666666666686 16.33333333333337, -15.833333333333314 16.33333333333337, -15.833333333333314 16.25, -15.916666666666686 16.25)))",1114.78,25.77,25.77,26.13,26.13,26.59,27.62,71.32,71.32,128.36,132.09,132.09,205.92,205.92,207.57,207.57,212.24,212.24,216.05,216.05,225.24,225.28,225.3,228.63,228.88,228.88,241.29,241.49,241.99,241.99,242.02,242.02,242.54,246.63,246.63,246.63,246.63,249.61,249.8,249.8,249.8,16-02-24
1,5505643,16.25,16.20833333,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16 16.25, -16 16.33333333333337, -15.916666666666686 16.33333333333337, -15.916666666666686 16.25, -16 16.25)))",6401.76,53.1,53.1,57.48,57.48,57.48,57.5,65.21,65.21,65.28,65.28,65.28,65.29,65.29,65.29,65.29,65.29,65.29,65.29,65.29,65.34,65.35,65.35,65.41,65.42,65.42,65.6,65.62,65.63,65.63,65.63,65.63,65.63,65.63,65.63,65.63,65.63,65.67,92.08,92.08,92.08,20-07-24
2,5505648,16.25,16.20833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.416666666666686 16.166666666666686, -16.416666666666686 16.25, -16.333333333333314 16.25, -16.333333333333314 16.166666666666686, -16.416666666666686 16.166666666666686)))",6775.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.28,26.34,26.34,26.34,20-07-24
3,5505647,16.25,16.20833333,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.5 16.166666666666686, -16.5 16.25, -16.416666666666686 16.25, -16.416666666666686 16.166666666666686, -16.5 16.166666666666686)))",1883.63,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.8,0.8,0.8,0.8,15-07-24
4,5505646,16.25,16.20833333,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.5 16.583333333333314, -15.5 16.6666666666668, -15.416666666666686 16.6666666666668, -15.416666666666686 16.583333333333314, -15.5 16.583333333333314)))",223.7,20.24,20.24,20.32,20.32,20.4,20.4,22.92,22.92,27.16,28.11,28.11,28.29,28.29,32.99,32.99,49.15,49.15,76.53,76.53,114.1,114.1,117.55,122.14,123.11,123.11,132.32,132.39,132.5,132.5,132.5,132.5,132.74,133.69,133.69,133.69,133.69,136.59,136.59,136.59,136.59,11-04-24
5,5505645,16.25,16.20833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.08333333333337 16.166666666666686, -16.08333333333337 16.25, -16 16.25, -16 16.166666666666686, -16.08333333333337 16.166666666666686)))",6196.9,21.36,21.36,23.65,23.65,30.34,31.3,53.86,53.86,93.82,132.77,132.77,241.62,241.62,253.8,253.8,263.48,263.48,296.93,296.93,349.43,351.02,354.94,359.98,360.95,360.95,368.49,368.56,368.93,368.93,368.94,368.94,369.17,371.92,371.92,371.92,371.92,374.54,374.56,374.56,374.56,26-02-24
6,5518605,16.25,16.45833333,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.16666666666663 16.166666666666686, -16.16666666666663 16.25, -16.08333333333337 16.25, -16.08333333333337 16.166666666666686, -16.16666666666663 16.166666666666686)))",8602.56,65.94,65.94,66.56,66.56,67.62,67.62,92.23,92.23,253.79,404.74,404.74,457.84,469.15,472.74,472.74,475.78,475.78,476.65,479.45,484.25,484.25,484.25,485.13,487.1,494.31,494.31,494.36,494.36,497.06,497.06,497.06,497.06,497.79,497.79,497.79,497.79,497.9,497.9,497.9,497.9,16-02-24
7,5501324,16.25,16.125,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.25 16.166666666666686, -16.25 16.25, -16.16666666666663 16.25, -16.16666666666663 16.166666666666686, -16.25 16.166666666666686)))",8593.29,300.84,300.84,300.84,300.84,302.88,329.08,329.08,329.08,347.31,365.16,365.16,379.88,379.88,394.5,394.5,398.38,398.38,404.48,404.48,404.48,425.36,425.46,428.33,429.51,429.51,441.02,441.38,443.55,443.55,452.62,452.69,452.95,452.95,452.95,452.95,452.95,482.09,491.91,491.91,491.91,20-07-24
8,5501323,16.25,16.125,-16.25,-16.45833333,152968,"MULTIPOLYGON (((-16.333333333333314 16.166666666666686, -16.333333333333314 16.25, -16.25 16.25, -16.25 16.166666666666686, -16.333333333333314 16.166666666666686)))",8602.56,162.84,162.84,162.84,162.84,166.33,183.97,183.97,183.97,191.28,194.55,194.55,197.6,197.6,198.46,198.46,198.86,198.86,220.76,220.76,220.76,229.18,229.43,229.44,229.44,229.44,230.09,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.79,322.07,322.07,322.07,20-07-24
9,5518608,16.25,16.45833333,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.5, -16.25 16.583333333333314, -16.16666666666663 16.583333333333314, -16.16666666666663 16.5, -16.25 16.5)))",1952.78,26.91,26.91,38.15,38.15,86.1,86.1,206.47,206.47,405.94,510.04,510.04,787.01,892.2,905.23,905.23,918.55,918.55,921,921.19,926.83,926.83,926.83,940.57,974.27,1040.05,1040.05,1081.14,1081.14,1104.3,1104.3,1104.3,1104.3,1104.44,1104.44,1104.44,1104.44,1104.53,1104.53,1104.53,1104.53,11-05-24
