Date,Area(ha),Data_source
"Tuesday, January 28, 2025",7734,SAED prepared area
"Tuesday, January 28, 2025",1236,SAED planted area
"Tuesday, February 4, 2025",9802,SAED prepared area
"Tuesday, February 4, 2025",2981,SAED planted area
"Tuesday, February 11, 2025",13579,SAED prepared area
"Tuesday, February 11, 2025",5781,SAED planted area
"Tuesday, February 18, 2025",17081,SAED prepared area
"Tuesday, February 18, 2025",8186,SAED planted area
"Tuesday, February 25, 2025",21562,SAED prepared area
"Tuesday, February 25, 2025",12341,SAED planted area
"Tuesday, March 4, 2025",25638,SAED prepared area
"Tuesday, March 4, 2025",16251,SAED planted area
